@RELATION change_classic_combined

@ATTRIBUTE numberOfVersionsUntil  NUMERIC
@ATTRIBUTE numberOfFixesUntil   NUMERIC
@ATTRIBUTE numberOfRefactoringsUntil  NUMERIC
@ATTRIBUTE umberOfAuthorsUntil   NUMERIC
@ATTRIBUTE linesAddedUntil   NUMERIC
@ATTRIBUTE maxLinesAddedUntil   NUMERIC
@ATTRIBUTE avgLinesAddedUntil   NUMERIC
@ATTRIBUTE linesRemovedUntil   NUMERIC
@ATTRIBUTE maxLinesRemovedUntil   NUMERIC
@ATTRIBUTE avgLinesRemovedUntil   NUMERIC
@ATTRIBUTE codeChurnUntil   NUMERIC
@ATTRIBUTE maxCodeChurnUntil   NUMERIC
@ATTRIBUTE avgCodeChurnUntil   NUMERIC
@ATTRIBUTE weightedAgeWithRespectTo   NUMERIC
@ATTRIBUTE ageWithRespectTo   NUMERIC
@ATTRIBUTE cbo  NUMERIC
@ATTRIBUTE dit  NUMERIC
@ATTRIBUTE fanIn  NUMERIC
@ATTRIBUTE fanOut  NUMERIC
@ATTRIBUTE lcom  NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE numberOfAttributes  NUMERIC
@ATTRIBUTE numberOfAttributesInherited  NUMERIC
@ATTRIBUTE numberOfLinesOfCode  NUMERIC
@ATTRIBUTE numberOfMethods  NUMERIC
@ATTRIBUTE numberOfMethodsInherited  NUMERIC
@ATTRIBUTE numberOfPrivateAttributes  NUMERIC
@ATTRIBUTE numberOfPrivateMethods  NUMERIC
@ATTRIBUTE numberOfPublicAttributes  NUMERIC
@ATTRIBUTE numberOfPublicMethods  NUMERIC
@ATTRIBUTE rfc  NUMERIC
@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
65, 4, 0, 8, 608, 158, 9.35385, 566, 158, 8.70769, 42, 15, 0.646154, 63.0609, 350.571, 9, 2, 1, 9, 15, 0, 1, 8, 122, 6, 19, 0, 0, 1, 5, 34, 20, 0
2, 0, 0, 2, 10, 10, 5, 0, 0, 0, 10, 10, 5, 0, 117.714, 1, 1, 1, 0, 0, 0, 2, 0, 4, 1, 8, 0, 0, 2, 1, 1, 1, 0
120, 10, 0, 12, 1361, 99, 11.3417, 768, 77, 6.4, 593, 66, 4.94167, 104.204, 238.429, 114, 1, 102, 18, 190, 6, 131, 249, 484, 20, 8, 0, 1, 3, 19, 156, 176, 1
28, 4, 0, 5, 138, 39, 4.92857, 123, 39, 4.39286, 15, 23, 0.535714, 112.678, 367, 5, 6, 1, 4, 10, 0, 0, 61, 33, 5, 207, 0, 0, 0, 4, 18, 12, 0
93, 17, 0, 8, 1870, 684, 20.1075, 1881, 692, 20.2258, -11, 18, -0.11828, 54.9702, 367, 23, 2, 1, 22, 820, 0, 7, 416, 673, 41, 8, 0, 2, 7, 1, 174, 115, 0
16, 5, 0, 5, 37, 6, 2.3125, 17, 6, 1.0625, 20, 4, 1.25, 48.8224, 264.857, 2, 1, 1, 1, 1, 0, 12, 0, 16, 2, 8, 0, 0, 12, 2, 4, 2, 0
30, 5, 0, 5, 535, 142, 17.8333, 74, 13, 2.46667, 461, 142, 15.3667, 3.2259, 226, 6, 4, 2, 4, 78, 0, 4, 96, 87, 13, 88, 2, 0, 0, 3, 46, 23, 0
7, 6, 0, 2, 14, 7, 2, 29, 27, 4.14286, -15, 4, -2.14286, 12.1531, 150.714, 2, 1, 2, 0, 1, 0, 4, 0, 9, 2, 8, 0, 0, 4, 2, 2, 2, 0
52, 5, 0, 7, 1075, 343, 20.6731, 889, 343, 17.0962, 186, 68, 3.57692, 81.1875, 367, 11, 3, 2, 9, 105, 0, 9, 119, 250, 15, 40, 0, 0, 9, 13, 50, 64, 0
23, 5, 0, 6, 122, 42, 5.30435, 138, 42, 6, -16, 16, -0.695652, 84.4309, 367, 4, 3, 3, 1, 6, 1, 3, 3, 9, 4, 17, 0, 0, 1, 3, 5, 3, 0
