@RELATION change_classic_combined

@ATTRIBUTE numberOfVersionsUntil  NUMERIC
@ATTRIBUTE numberOfFixesUntil   NUMERIC
@ATTRIBUTE numberOfRefactoringsUntil  NUMERIC
@ATTRIBUTE umberOfAuthorsUntil   NUMERIC
@ATTRIBUTE linesAddedUntil   NUMERIC
@ATTRIBUTE maxLinesAddedUntil   NUMERIC
@ATTRIBUTE avgLinesAddedUntil   NUMERIC
@ATTRIBUTE linesRemovedUntil   NUMERIC
@ATTRIBUTE maxLinesRemovedUntil   NUMERIC
@ATTRIBUTE avgLinesRemovedUntil   NUMERIC
@ATTRIBUTE codeChurnUntil   NUMERIC
@ATTRIBUTE maxCodeChurnUntil   NUMERIC
@ATTRIBUTE avgCodeChurnUntil   NUMERIC
@ATTRIBUTE weightedAgeWithRespectTo   NUMERIC
@ATTRIBUTE ageWithRespectTo   NUMERIC
@ATTRIBUTE cbo  NUMERIC
@ATTRIBUTE dit  NUMERIC
@ATTRIBUTE fanIn  NUMERIC
@ATTRIBUTE fanOut  NUMERIC
@ATTRIBUTE lcom  NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE numberOfAttributes  NUMERIC
@ATTRIBUTE numberOfAttributesInherited  NUMERIC
@ATTRIBUTE numberOfLinesOfCode  NUMERIC
@ATTRIBUTE numberOfMethods  NUMERIC
@ATTRIBUTE numberOfMethodsInherited  NUMERIC
@ATTRIBUTE numberOfPrivateAttributes  NUMERIC
@ATTRIBUTE numberOfPrivateMethods  NUMERIC
@ATTRIBUTE numberOfPublicAttributes  NUMERIC
@ATTRIBUTE numberOfPublicMethods  NUMERIC
@ATTRIBUTE rfc  NUMERIC
@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA
26, 5, 0, 4, 332, 39, 12.7692, 131, 39, 5.03846, 201, 39, 7.73077, 23.7431, 175.714, 7, 1, 2, 5, 78, 0, 1, 0, 82, 13, 8, 1, 0, 0, 13, 46, 18, 0
22, 6, 0, 4, 192, 109, 8.72727, 185, 109, 8.40909, 7, 5, 0.318182, 58.026, 367, 2, 1, 2, 0, 10, 0, 4, 0, 18, 5, 16, 4, 0, 0, 5, 5, 5, 0
16, 5, 0, 6, 69, 15, 4.3125, 36, 7, 2.25, 33, 14, 2.0625, 97.1739, 252.857, 7, 1, 0, 7, 6, 0, 2, 0, 50, 4, 0, 2, 1, 0, 3, 28, 14, 0
43, 10, 0, 8, 485, 178, 11.2791, 140, 46, 3.25581, 345, 132, 8.02326, 153.406, 320.714, 4, 1, 3, 1, 45, 1, 2, 0, 69, 10, 8, 0, 0, 0, 10, 21, 13, 0
14, 4, 0, 4, 55, 13, 3.92857, 29, 5, 2.07143, 26, 9, 1.85714, 36.6545, 328.571, 1, 1, 1, 0, 1, 0, 0, 0, 3, 2, 8, 0, 0, 0, 2, 2, 1, 0
3, 1, 0, 2, 11, 6, 3.66667, 9, 6, 3, 2, 2, 0.666667, 3.24675, 12.5714, 0, 1, 0, 0, 1, 0, 0, 0, 6, 2, 8, 0, 1, 0, 1, 3, 2, 0
6, 1, 0, 3, 28, 21, 4.66667, 9, 4, 1.5, 19, 17, 3.16667, 16.6276, 122.143, 3, 2, 1, 2, 28, 0, 0, 6, 56, 8, 11, 0, 0, 0, 8, 17, 20, 0
23, 4, 0, 5, 198, 57, 8.6087, 146, 29, 6.34783, 52, 50, 2.26087, 38.2857, 140.571, 1, 1, 1, 0, 6, 1, 16, 547, 6, 4, 20, 0, 0, 0, 4, 4, 2, 0
98, 26, 0, 13, 15621, 3028, 159.398, 12538, 3026, 127.939, 3083, 751, 31.4592, 138.94, 294.571, 141, 1, 137, 4, 561, 0, 3, 0, 845, 34, 8, 0, 0, 0, 34, 91, 262, 0
19, 2, 0, 5, 242, 65, 12.7368, 199, 108, 10.4737, 43, 45, 2.26316, 12.768, 136.571, 4, 1, 4, 0, 28, 0, 2, 0, 24, 8, 8, 0, 0, 2, 8, 8, 8, 1
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.5714, 2, 1, 2, 0, 10, 0, 0, 0, 0, 5, 8, 0, 0, 0, 5, 5, 0, 0
25, 9, 0, 6, 119, 36, 4.76, 103, 36, 4.12, 16, 8, 0.64, 87.6999, 325.143, 6, 1, 6, 0, 0, 0, 1, 0, 3, 1, 22, 1, 0, 0, 1, 1, 1, 0
13, 4, 0, 3, 86, 47, 6.61538, 49, 13, 3.76923, 37, 35, 2.84615, 12.0282, 136.571, 5, 1, 1, 5, 36, 0, 2, 0, 44, 9, 8, 2, 0, 0, 9, 26, 14, 0
18, 4, 0, 4, 599, 151, 33.2778, 51, 24, 2.83333, 548, 151, 30.4444, 73.1803, 169.857, 3, 2, 1, 2, 120, 0, 5, 11, 123, 16, 18, 0, 0, 0, 16, 43, 31, 1
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74.5714, 0, 1, 0, 0, 1, 0, 2, 0, 6, 2, 8, 0, 1, 0, 1, 2, 2, 0
51, 8, 0, 10, 2071, 317, 40.6078, 224, 30, 4.39216, 1847, 315, 36.2157, 80.7057, 219.857, 8, 2, 4, 4, 780, 0, 49, 20, 347, 40, 25, 22, 0, 0, 39, 105, 100, 1
19, 4, 0, 5, 243, 60, 12.7895, 50, 21, 2.63158, 193, 60, 10.1579, 136.486, 219.857, 2, 1, 2, 0, 91, 3, 4, 0, 79, 14, 8, 4, 0, 0, 14, 20, 30, 0
21, 4, 0, 8, 269, 195, 12.8095, 229, 194, 10.9048, 40, 14, 1.90476, 146.125, 325.857, 0, 1, 0, 0, 91, 0, 0, 0, 42, 14, 22, 0, 0, 0, 14, 14, 14, 0
60, 8, 0, 10, 979, 413, 16.3167, 808, 413, 13.4667, 171, 39, 2.85, 66.5053, 333, 7, 1, 0, 7, 15, 0, 13, 15, 128, 6, 8, 0, 2, 0, 4, 31, 24, 1
22, 4, 0, 4, 555, 179, 25.2273, 64, 12, 2.90909, 491, 179, 22.3182, 5.52844, 226, 18, 3, 11, 7, 120, 3, 2, 97, 61, 16, 84, 0, 0, 2, 9, 35, 17, 0
21, 4, 0, 7, 409, 125, 19.4762, 49, 9, 2.33333, 360, 125, 17.1429, 9.16242, 226, 11, 3, 5, 6, 78, 3, 1, 95, 53, 13, 75, 0, 0, 1, 9, 25, 15, 0
10, 5, 0, 4, 124, 76, 12.4, 34, 18, 3.4, 90, 58, 9, 90.1463, 122.714, 24, 2, 1, 23, 120, 0, 4, 6, 190, 16, 24, 3, 1, 0, 14, 100, 63, 1
27, 5, 0, 5, 629, 146, 23.2963, 80, 12, 2.96296, 549, 146, 20.3333, 3.16489, 226, 7, 4, 1, 7, 136, 0, 5, 99, 98, 17, 100, 1, 0, 0, 1, 57, 26, 0
33, 8, 0, 5, 956, 256, 28.9697, 112, 13, 3.39394, 844, 256, 25.5758, 2.54752, 226, 9, 3, 2, 8, 210, 0, 9, 97, 170, 21, 84, 4, 0, 0, 8, 88, 43, 0
27, 8, 0, 8, 168, 57, 6.22222, 46, 6, 1.7037, 122, 53, 4.51852, 102.19, 328.143, 6, 2, 4, 3, 66, 0, 3, 95, 53, 12, 68, 2, 0, 0, 3, 30, 14, 0
36, 13, 0, 7, 482, 175, 13.3889, 288, 175, 8, 194, 76, 5.38889, 72.0033, 333.143, 4, 3, 1, 3, 91, 0, 5, 95, 109, 14, 73, 3, 0, 0, 5, 51, 27, 0
45, 13, 0, 9, 583, 204, 12.9556, 349, 204, 7.75556, 234, 94, 5.2, 75.7047, 333.143, 6, 3, 1, 6, 120, 0, 7, 95, 110, 16, 73, 4, 0, 0, 6, 59, 27, 0
27, 9, 0, 7, 265, 104, 9.81481, 149, 104, 5.51852, 116, 53, 4.2963, 73.7757, 333.143, 4, 3, 2, 2, 55, 0, 3, 95, 45, 11, 73, 2, 0, 0, 2, 27, 13, 0
39, 14, 0, 7, 400, 171, 10.2564, 255, 171, 6.53846, 145, 60, 3.71795, 66.5168, 333.143, 9, 3, 5, 4, 91, 0, 3, 95, 87, 14, 76, 2, 0, 0, 5, 45, 23, 0
38, 13, 0, 7, 453, 172, 11.9211, 269, 172, 7.07895, 184, 77, 4.84211, 69.9451, 333.143, 5, 3, 1, 4, 91, 0, 5, 95, 98, 14, 73, 3, 0, 0, 5, 49, 24, 0
39, 15, 0, 7, 701, 321, 17.9744, 460, 321, 11.7949, 241, 100, 6.17949, 63.1528, 333.143, 4, 3, 1, 3, 136, 0, 7, 95, 132, 17, 73, 4, 0, 0, 7, 62, 33, 0
210, 49, 0, 11, 9587, 1441, 45.6524, 7432, 1441, 35.3905, 2155, 359, 10.2619, 95.3919, 333.143, 108, 1, 49, 93, 7381, 0, 17, 0, 804, 122, 8, 10, 0, 3, 96, 347, 182, 0
318, 166, 0, 10, 17380, 3852, 54.6541, 12236, 2861, 38.478, 5144, 1378, 16.1761, 97.7421, 333.143, 55, 1, 2, 53, 2080, 0, 12, 0, 1947, 65, 8, 1, 5, 3, 10, 680, 470, 1
66, 6, 0, 9, 2006, 584, 30.3939, 470, 105, 7.12121, 1536, 556, 23.2727, 99.6814, 329.143, 4, 1, 1, 4, 15, 0, 1, 0, 52, 6, 8, 1, 1, 0, 5, 19, 19, 0
112, 26, 0, 10, 5361, 1562, 47.8661, 2652, 1562, 23.6786, 2709, 746, 24.1875, 72.771, 333.143, 150, 1, 135, 18, 1830, 19, 102, 0, 657, 61, 8, 7, 1, 2, 26, 209, 206, 0
