@RELATION all

@ATTRIBUTE wmc  NUMERIC
@ATTRIBUTE dit   NUMERIC
@ATTRIBUTE noc  NUMERIC
@ATTRIBUTE cbo   NUMERIC
@ATTRIBUTE rfc   NUMERIC
@ATTRIBUTE lcom   NUMERIC
@ATTRIBUTE ca   NUMERIC
@ATTRIBUTE ce   NUMERIC
@ATTRIBUTE npm   NUMERIC
@ATTRIBUTE lcom3   NUMERIC
@ATTRIBUTE loc   NUMERIC
@ATTRIBUTE dam   NUMERIC
@ATTRIBUTE moa   NUMERIC
@ATTRIBUTE mfa   NUMERIC
@ATTRIBUTE cam   NUMERIC
@ATTRIBUTE ic   NUMERIC
@ATTRIBUTE cbm   NUMERIC
@ATTRIBUTE amc   NUMERIC
@ATTRIBUTE max_cc   NUMERIC
@ATTRIBUTE avg_cc   NUMERIC
@ATTRIBUTE bug   {0, 1}

@DATA

6,1,0,4,20,1,1,4,6,0.76,161,1.0,1,0.0,0.33333334,0,0,25.0,9,2.6666667,0
13,3,0,7,35,52,0,7,10,0.86904764,273,1.0,2,0.75510204,0.35384616,1,1,19.461538,6,1.6923077,0
16,3,0,3,40,84,1,2,16,0.65833336,604,1.0,2,0.58064514,0.29166666,2,7,36.25,1,0.8125,0
10,1,0,9,49,1,0,9,8,0.9206349,382,1.0,0,0.0,0.8333333,0,0,35.1,4,1.9,0
2,1,0,2,4,0,1,2,1,0.5,20,1.0,1,0.0,0.625,0,0,8.0,1,0.5,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
17,3,0,10,55,76,5,6,11,0.59375,461,1.0,0,0.65217394,0.2857143,1,1,25.882353,6,2.6470587,1
2,1,0,2,5,0,1,2,1,0.33333334,36,1.0,1,0.0,0.6,0,0,15.5,1,0.5,0
9,1,0,6,19,18,1,6,9,0.71875,82,1.0,2,0.0,0.2888889,0,0,7.6666665,2,1.1111112,0
31,1,0,6,65,243,4,2,30,0.7266667,747,1.0,0,0.0,0.1827957,1,1,22.612904,4,1.1612903,0
3,2,0,1,10,0,1,1,3,0.25,77,1.0,2,0.9591837,0.5,1,1,22.666666,2,1.0,0
5,4,0,8,45,6,0,8,4,0.75,261,1.0,0,0.9512195,0.6,4,5,50.8,7,2.0,0
3,2,0,2,8,1,1,1,3,0.5,71,1.0,0,0.8,1.0,1,1,22.333334,1,0.6666667,0
19,1,0,18,47,97,16,5,16,0.8333333,273,1.0,1,0.0,0.30526316,0,0,13.0,3,1.4210526,1
2,1,0,4,5,0,1,4,1,0.5,29,1.0,1,0.0,0.5833333,0,0,12.5,1,0.5,0
3,3,0,2,6,1,0,2,3,0.5,29,1.0,0,0.94871795,0.6666667,0,0,8.333333,1,0.6666667,0
4,4,0,6,32,6,0,6,1,2.0,325,0.0,0,0.96385545,0.75,3,5,80.25,11,5.25,0
19,1,0,23,46,65,22,3,17,0.41666666,448,1.0,0,0.0,0.28947368,0,0,22.473684,16,2.4210527,0
11,2,0,7,15,13,5,3,11,0.75,97,1.0,3,0.2,0.22077923,0,0,7.2727275,1,0.72727275,0
17,1,0,19,73,112,13,7,5,0.84375,502,1.0,1,0.0,0.17045455,0,0,28.17647,2,1.0,1
18,4,0,8,49,19,0,8,16,0.77310926,579,1.0,0,0.8210526,0.2962963,2,3,30.777779,14,2.1111112,0
5,1,0,1,18,0,1,0,3,0.5,96,1.0,0,0.0,0.53333336,0,0,17.8,2,1.0,0
22,4,1,15,104,185,2,13,8,0.83928573,1180,1.0,0,0.79591835,0.1802721,3,3,52.272728,3,1.0454545,1
2,1,0,5,7,0,1,5,1,0.33333334,44,1.0,1,0.0,0.5714286,0,0,19.5,1,0.5,0
5,2,5,6,16,0,5,1,4,0.5,76,1.0,1,0.7777778,0.34285715,0,0,13.8,1,0.8,0
3,1,0,9,25,1,7,2,3,0.0,277,1.0,1,0.0,0.6666667,0,0,91.0,14,5.3333335,0
12,1,0,3,21,44,1,2,5,0.8051948,147,1.0,1,0.0,0.26190478,0,0,10.666667,4,1.25,0
3,2,0,5,17,1,1,4,2,0.875,133,0.25,0,0.5,0.4,0,0,42.0,1,0.6666667,0
2,3,0,4,6,1,1,3,1,2.0,58,0.0,0,0.75,0.6,1,1,28.0,1,0.5,0
14,3,0,5,35,63,0,5,13,0.90909094,307,1.0,0,0.74,0.5952381,2,3,20.142857,7,1.3571428,0
3,2,0,5,12,3,1,4,1,2.0,48,0.0,0,0.6666667,0.5,1,1,15.0,1,0.33333334,0
5,1,0,4,13,0,0,4,5,0.5,65,1.0,0,0.0,0.8,0,0,11.6,3,1.2,0
16,3,2,24,56,0,16,8,14,0.6,353,1.0,1,0.6818182,0.2265625,1,1,20.8125,4,1.75,1
4,1,0,3,4,6,2,1,4,2.0,4,0.0,0,0.0,0.5,0,0,0.0,1,1.0,0
14,3,0,6,33,65,0,6,14,0.9102564,404,1.0,1,0.74,0.5952381,2,3,27.0,2,1.0,0
65,3,0,21,155,1670,6,21,59,0.9171875,1504,1.0,5,0.37,0.24414062,3,3,21.830769,10,1.5230769,0
9,6,0,7,33,28,0,7,6,0.8125,163,1.0,0,0.9506173,0.4,4,6,16.88889,2,1.0,0
2,1,0,3,4,0,1,3,1,0.5,25,1.0,1,0.0,0.5833333,0,0,10.5,1,0.5,0
23,3,0,10,96,175,1,10,19,0.8863636,1034,1.0,2,0.62711865,0.19130434,3,3,43.086956,7,1.3043479,0
4,1,0,2,12,0,1,2,4,0.33333334,57,1.0,1,0.0,0.4375,0,0,12.75,2,1.0,0
6,1,0,7,26,0,1,6,6,0.65,185,1.0,3,0.0,0.30555555,0,0,29.166666,1,0.8333333,0
9,1,4,8,15,18,5,3,5,0.7083333,98,1.0,1,0.0,0.2888889,0,0,9.555555,2,1.0,0
2,2,0,2,3,1,1,1,2,2.0,20,0.0,0,0.8888889,1.0,1,1,9.0,1,0.5,0
2,1,0,3,6,0,1,3,1,0.5,29,1.0,1,0.0,0.5833333,0,0,12.5,1,0.5,0
5,1,0,51,10,8,51,0,3,0.3125,69,0.75,1,0.0,0.5833333,0,0,12.0,3,0.6,0
42,4,1,19,74,741,7,13,40,0.9483501,550,1.0,4,0.6554622,0.21088435,3,3,11.690476,2,1.2142857,0
3,3,0,3,14,1,0,3,3,0.5,84,1.0,0,0.94871795,0.6666667,1,1,26.666666,1,0.6666667,1
6,2,0,6,25,9,3,3,6,0.6,123,0.0,0,0.375,1.0,1,2,19.333334,1,0.8333333,0
13,1,0,4,13,78,4,0,13,2.0,13,0.0,0,0.0,0.32692307,0,0,0.0,1,1.0,0
5,2,0,4,29,0,1,4,3,0.0,179,1.0,1,0.8235294,0.4,0,0,34.6,5,1.4,0
2,3,0,4,8,1,1,4,1,2.0,40,0.0,0,0.75,0.6,1,1,19.0,1,0.5,0
6,3,0,4,25,11,0,4,4,0.8,157,1.0,0,0.88095236,0.4,2,2,24.833334,1,0.8333333,0
7,1,0,6,7,21,5,1,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
14,1,0,24,63,63,20,20,9,0.84134614,822,0.4375,0,0.0,0.33333334,0,0,56.57143,24,2.7857144,1
17,3,1,12,64,52,1,11,13,0.7932692,642,1.0,1,0.6981132,0.24264705,1,1,36.0,11,2.0,0
12,3,0,12,37,32,0,12,12,0.85858583,310,1.0,1,0.7708333,0.45833334,0,0,24.083334,3,1.4166666,0
6,3,0,10,33,0,3,8,5,0.46666667,198,1.0,1,0.88095236,0.33333334,2,4,31.5,2,1.0,1
4,2,0,1,11,0,0,1,1,0.22222222,68,1.0,1,0.625,0.5,1,1,15.25,2,1.0,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
5,1,0,3,15,0,2,1,4,0.5,137,1.0,0,0.0,0.9,0,0,25.2,4,1.8,0
7,2,1,8,15,1,7,1,4,0.5833333,92,1.0,1,0.45454547,0.4642857,1,1,11.571428,1,0.85714287,0
2,1,0,3,5,0,1,3,1,0.5,28,1.0,1,0.0,0.5833333,0,0,12.0,1,0.5,0
3,1,0,2,7,0,2,1,3,0.5,26,1.0,1,0.0,0.5555556,0,0,7.0,1,0.6666667,0
2,2,0,9,23,1,1,8,2,2.0,204,0.0,0,0.9583333,1.0,1,1,101.0,1,0.5,0
6,1,0,15,10,0,14,2,6,0.6,51,1.0,1,0.0,0.36666667,0,0,7.1666665,1,0.8333333,0
2,1,0,4,7,0,3,2,1,0.0,56,1.0,1,0.0,0.6666667,0,0,25.5,4,2.0,0
6,5,1,6,33,7,1,5,3,0.7,164,1.0,0,0.96153843,0.5,3,6,26.0,2,1.0,0
4,3,0,4,32,2,0,4,4,0.6666667,215,1.0,0,0.925,0.75,1,1,52.25,1,0.75,0
3,1,1,5,9,0,3,2,3,0.0,47,1.0,0,0.0,0.6666667,0,0,14.333333,1,0.6666667,0
2,1,0,1,6,0,1,0,2,1.0,39,1.0,0,0.0,0.6666667,0,0,16.5,2,1.0,0
3,3,0,5,17,0,1,5,3,0.0,91,1.0,0,0.94871795,1.0,0,0,29.0,1,0.6666667,0
8,3,0,4,41,10,0,4,8,0.8095238,236,1.0,0,0.84090906,0.875,1,1,27.75,14,2.625,0
4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.875,0,0,0.0,1,1.0,0
2,1,0,4,6,0,1,4,1,0.33333334,44,1.0,1,0.0,0.5714286,0,0,19.5,1,0.5,0
9,3,0,9,29,0,0,9,9,0.5833333,168,1.0,1,0.82222223,0.44444445,0,0,17.333334,2,1.4444444,0
6,1,0,4,30,13,1,4,3,0.8,208,0.75,3,0.0,0.45833334,0,0,33.0,7,2.8333333,0
3,1,0,8,16,3,1,7,1,2.0,125,0.0,0,0.0,0.44444445,0,0,40.666668,1,0.6666667,0
27,1,0,3,63,297,1,2,10,0.77884614,527,0.0,2,0.0,0.37962964,0,0,18.222221,11,1.4444444,0
8,3,0,8,25,14,1,7,8,0.71428573,157,1.0,1,0.84090906,0.375,0,0,18.25,2,1.125,0
1,1,0,17,1,0,15,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
8,1,0,1,14,28,1,0,8,2.0,274,0.0,0,0.0,0.45,0,0,33.25,7,2.875,0
3,2,0,8,18,3,1,7,2,1.0,132,0.0,0,0.92,0.5,0,0,42.0,1,0.6666667,0
9,5,0,10,20,4,3,7,9,0.6875,110,1.0,0,0.9191919,0.3888889,2,7,10.777778,3,1.2222222,0
11,4,2,14,42,29,2,12,5,0.725,395,1.0,1,0.88505745,0.23232323,3,4,34.545456,3,1.2727273,0
8,3,0,6,46,10,0,6,7,0.7714286,394,1.0,0,0.84090906,0.375,1,1,47.625,2,1.0,0
